data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,inter1,interaction,region,country,admin1,admin2,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1352562,566,NIG11965,11965,05 March 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,44,Western Africa,Nigeria,Taraba,Bali,Maisamari,7.8333,10.95,1,The Guardian (Lagos),National,"05 March. Mambilla and Fulani violence continues on 05/03 in Yelwa, Tunga Adamu and Maisamari. Property destroyed, causalities not known.",0,1524053818,NGA
1352563,566,NIG11966,11966,05 March 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,44,Western Africa,Nigeria,Taraba,Bali,Bali,7.8667,10.9667,2,The Guardian (Lagos),National,"05 March. Mambilla and Fulani violence continues on 05/03 in Yelwa, Tunga Adamu and Maisamari. Property destroyed, causalities not known.",0,1524053818,NGA
1352564,566,NIG11967,11967,05 March 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,44,Western Africa,Nigeria,Taraba,Bali,Yelwa,7.9667,10.9167,1,The Guardian (Lagos),National,"05 March. Mambilla and Fulani violence continues on 05/03 in Yelwa, Tunga Adamu and Maisamari. Property destroyed, causalities not known.",0,1524053818,NGA
1352569,566,NIG11972,11972,05 March 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Benue,Okpokwu,Okpoga,7.0336,7.8134,2,Daily Trust (Abuja); The Guardian (Lagos),National,"05 March. 24 are dead in a Fulani attack on the Idoma village of Omusu in Okpokpwu LGA. The Guardian claims 26 dead, The Daily Independent, 30.",24,1524053818,NGA
1352780,566,NIG11961,11961,04 March 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,44,Western Africa,Nigeria,Taraba,Sardauna,Mambilla Hill,7.2667,11.0333,1,Vanguard (Lagos),National,"04 March. Renewed violence reported in Mambilla. Between 19-20 killed (believed over the entirety of the unrest; beginning from 01/03 - 04/03). Other settlements attacked by Mambilla militia included Nyiwa, Yerimaru, Wuro Mogoggo, Leme and Gagarum, though specific fatalities and dates of these attacked are not provided by the source.",3,1524053818,NGA
1352781,566,NIG11962,11962,04 March 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Delta,Ethiope East,Abraka,5.7902,6.1047,1,Vanguard (Lagos),National,"04 March. Herdsmen have chopped off the fingers and toes of a farmer in Abraka, Delta State, for trying to stop them from grazing their herd on his farm.",0,1524053818,NGA
1352782,566,NIG11963,11963,04 March 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Benue,Guma,Gbajimba,7.8155,8.8604,2,Vanguard (Lagos),National,04 March. No fewer than five persons were killed in an attack on Umenge village in Guma Local Government Area of Benue State by suspected herdsmen on 04/03.,5,1524053818,NGA
1353242,566,NIG11949,11949,01 March 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,44,Western Africa,Nigeria,Taraba,Sardauna,Mambilla Hill,7.2667,11.0333,1,This Day (Lagos); Xinhua,National-international,"Four people have been killed in a fresh communal clash which erupted on the Mambilla Plateau 01/03 evening between the Fulani and Mambilla militias. The Xinhua report, which was published several days later, claims 15 dead.",15,1524053818,NGA
1353455,566,NIG11941,11941,28 February 2018,2018,2,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,14,Western Africa,Nigeria,Adamawa,Numan,Numan,9.4667,12.0333,2,CAJ News Agency (Johannesburg),International,"Fulanis attack civilians at Gwamba in the Numan local government area of Adamawa State ""earlier this week."" Causalities not known. Military forces responded (not known if same day), killing 10 and arresting 6.",10,1524053819,NGA
1353673,566,NIG11933,11933,27 February 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,44,Western Africa,Nigeria,Adamawa,Demsa,Gwomba,9.6167,12.2,1,This Day (Lagos),National,20 persons died in a revenge clash between Fulani herdsmen and Bachama farmers in Gwamba village in Demsa Local Government Area of Adamawa State.,20,1524053819,NGA
