,1976,1980,1983,1988,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,State,mean__Admission_into_nigerian_universities__Female,mean__Admission_into_nigerian_universities__Male,mean__Adult_Literacy_in_Any_Language__Percent__Female,mean__Adult_Literacy_in_Any_Language__Percent__Male,mean__Application_into_nigerian_universities__Female,mean__Application_into_nigerian_universities__Male,mean__Household_Size__Average__Total,mean__National_teachers_institute_student_enrolment_on_distance_leaning__Female,mean__National_teachers_institute_student_enrolment_on_distance_leaning__Male,mean__Percentage_Distribution_of_Household_Livelihood_Based_on_Income__Fairly_rich,mean__Percentage_Distribution_of_Household_Livelihood_Based_on_Income__Moderate,mean__Percentage_Distribution_of_Household_Livelihood_Based_on_Income__Poor,mean__Percentage_Distribution_of_Household_Livelihood_Based_on_Income__Rich,mean__Percentage_Distribution_of_Household_Livelihood_Based_on_Income__Very_poor,mean__Percentage_Distribution_of_Households_that_think_Reduction_of_Poverty_is_Priority_of_Government__No,mean__Percentage_Distribution_of_Households_that_think_Reduction_of_Poverty_is_Priority_of_Government__Yes,mean__Percentage_Distribution_of_Persons_15_Years_and_Above_Who_Attended_a_Literacy_Course__No,mean__Percentage_Distribution_of_Persons_15_Years_and_Above_Who_Attended_a_Literacy_Course__Yes,mean__Percentage_of_Persons_Who_Can_Read_a_Simple_Letter_in_English_Language_15_Years_and_Above__No,mean__Percentage_of_Persons_Who_Can_Read_a_Simple_Letter_in_English_Language_15_Years_and_Above__Yes,mean__Percentage_of_Persons_Who_Can_Read_and_Write_in_Hausa__Ibo_or_Yoruba__15_Years_and_Above__Hausa,mean__Percentage_of_Persons_Who_Can_Read_and_Write_in_Hausa__Ibo_or_Yoruba__15_Years_and_Above__Ibo,mean__Percentage_of_Persons_Who_Can_Read_and_Write_in_Hausa__Ibo_or_Yoruba__15_Years_and_Above__Other,mean__Percentage_of_Persons_Who_Can_Read_and_Write_in_Hausa__Ibo_or_Yoruba__15_Years_and_Above__Yoruba,mean__Total_employment_in_crop_farming__000__Female,mean__Total_employment_in_crop_farming__000__Male,mean__Unemployment_Rates_by_State,Unnamed:_0,MPI_data_source,"Subnational_
region",MPI_of_the_country,MPI_of_the_region,Nutrition,Child_mortality,Years_of_schooling,School_attendance,"Cooking_
fuel",Sanitation,Drinking_water,Electricity,Housing,Assets,Year_of_the_survey,Population_2016,Population_2017,Population_share_by_region,"Population_size_by_
region","Total_number_of_indicators_included_
out_of_ten"
10,,,,,,,,,,6.0,,60.0,12.0,,,22.0,4.0,16.0,6.0,38.0,47.0,46.0,33.0,12.0,44.0,20.0,35.0,31.0,217.0,70.0,89.0,54.0,109.0,59.0,Delta,2364.5,3262.25,62.82,77.96,28598.8,37114.8,3.88,687.5,227.75,6.0,36.2,43.5,0.7,13.6,34.4,65.6,98.7,1.3,38.5,61.5,3.0,21.5,72.0,3.4,234.0,310.0,15.68571429,6.0,2016-2017,Delta,0.2911579311,0.05111893639,15.50979465,4.770149663,4.254615307,1.603991911,53.78966331,61.91661954,21.90144509,27.63651907,14.71898556,13.76865208,190886.3125,185989.6406,190886.3125,0.01622779854,3097.664551,10.0
11,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,24.0,22.0,2.0,6.0,3.0,17.0,,121.0,Ebonyi,980.0,1657.25,51.52,70.16,7170.6,11015.2,5.1,270.75,296.75,5.2,15.2,51.4,0.5,27.6,74.1,25.9,99.6,0.4,32.8,67.2,1.0,69.3,29.7,0.1,791.6666667,686.6666667,11.41428571,7.0,2016-2017,Ebonyi,0.2911579311,0.1690019518,22.16097713,4.058944061,11.21992171,9.44693163,92.05838442,87.78492808,45.0820744,70.04756331,51.14530921,31.68158829,190886.3125,185989.6406,190886.3125,0.01249962952,2386.008301,10.0
12,,,,,,1.0,,,,,,,,,,,,5.0,,,3.0,8.0,18.0,,18.0,39.0,14.0,2.0,15.0,61.0,31.0,66.0,19.0,18.0,Edo,1910.5,2923.0,64.04,80.12,23645.4,32447.6,4.14,447.75,82.0,6.1,59.1,29.8,1.1,3.9,40.5,59.5,99.3,0.7,32.7,67.3,0.6,2.9,91.5,5.0,350.6666667,465.0,13.64285714,8.0,2016-2017,Edo,0.2911579311,0.02008198574,10.86880788,0.8777967654,3.474747017,2.056020312,38.1080389,48.46425951,15.781717,11.4923358,8.55851844,9.339141846,190886.3125,185989.6406,190886.3125,0.0130816428,2497.106445,10.0
13,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,1.0,12.0,8.0,14.0,7.0,8.0,8.0,8.0,10.0,Ekiti,1067.0,1716.5,59.62,73.62,11740.8,17542.6,3.48,155.5,76.25,2.7,51.1,37.6,0.6,8.0,19.9,80.1,97.4,2.6,35.1,64.9,0.3,1.8,8.8,89.1,100.0,162.6666667,13.65714286,9.0,2016-2017,Ekiti,0.2911579311,0.05345376953,13.78591955,4.745320603,6.96849674,2.695482038,58.90304446,74.38258529,26.79102421,26.09131336,9.902517498,12.51689643,190886.3125,185989.6406,190886.3125,0.00615326874,1174.574829,10.0
14,,,,,,,,,,,,,,2.0,,,,,,,16.0,,,4.0,7.0,10.0,8.0,6.0,40.0,12.0,9.0,62.0,24.0,46.0,Enugu,2172.75,2555.5,58.4,74.28,22121.0,23230.4,4.26,1052.25,182.5,7.7,42.2,36.2,0.8,13.2,15.1,84.9,99.1,0.9,35.4,64.6,0.6,92.5,6.5,0.5,918.0,844.3333333,19.55714286,10.0,2016-2017,Enugu,0.2911579311,0.0382687524,7.070489973,2.350559458,5.828921497,1.401915215,71.86136842,68.00408363,48.07449281,28.17356884,11.04243398,14.54766989,190886.3125,185989.6406,190886.3125,0.01327871159,2534.724365,10.0
15,,,,,,,,,,,,,,,,,,,,,,,,2.0,67.0,17.0,49.0,128.0,,1.0,,,6.0,,Gombe,209.25,495.5,54.66,70.82,1564.6,3535.6,5.98,161.5,244.0,2.9,46.3,42.6,0.8,7.5,44.7,55.3,98.5,1.5,70.8,29.2,69.7,0.7,29.3,0.3,262.6666667,906.6666667,19.62857143,12.0,2016-2017,Gombe,0.2911579311,0.455775857,55.0796628,16.74228162,42.11540222,55.13007641,95.8538115,56.97092414,66.32415056,56.9547236,78.32883,31.42001927,190886.3125,185989.6406,190886.3125,0.01807312295,3449.911865,10.0
16,,,,,,,,,,,,,,,,1.0,,,,7.0,8.0,,,,3.0,1.0,6.0,,31.0,7.0,9.0,14.0,25.0,248.0,Imo,4763.25,4667.75,64.3,79.14,49945.8,45809.2,4.38,527.25,75.75,1.8,30.4,46.7,0.8,20.3,11.7,88.3,99.0,1.0,23.2,76.8,1.1,71.1,27.6,0.3,1331.666667,1094.0,21.7,13.0,2016-2017,Imo,0.2911579311,0.03542274609,16.47723615,6.779006124,3.290109336,0.806191843,73.57236743,41.88608527,23.02892506,24.77383316,5.720648915,7.379048318,190886.3125,185989.6406,190886.3125,0.01813015342,3460.798096,10.0
17,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,19.0,9.0,12.0,,,,,,Jigawa,61.75,205.5,39.6,58.28,653.8,2690.4,6.36,115.0,466.75,7.3,56.0,30.7,1.0,4.9,33.2,66.8,97.4,2.6,82.7,17.3,82.4,0.5,16.0,1.1,382.3333333,1739.666667,19.17142857,14.0,2016-2017,Jigawa,0.2911579311,0.5308761597,67.74685979,25.06251633,55.38871288,60.96576452,98.71048927,67.1861887,30.58100939,73.35992455,82.9847455,34.7676605,190886.3125,185989.6406,190886.3125,0.04419095069,8435.447266,10.0
18,,9.0,,,,4.0,6.0,,6.0,,,,,,,,,,,,,7.0,2.0,19.0,101.0,43.0,151.0,53.0,184.0,90.0,79.0,165.0,492.0,104.0,Kaduna,454.25,889.5,43.88,63.5,5449.2,9726.6,6.86,879.75,731.25,9.0,38.2,43.5,0.5,8.8,22.3,77.7,97.8,2.2,53.3,46.7,79.4,1.8,17.6,1.3,1105.333333,2989.666667,12.5,15.0,2016-2017,Kaduna,0.2911579311,0.2927293479,49.85261559,8.492920548,26.37325525,29.88693118,87.2020483,70.49760818,40.24682939,37.14220226,52.21331716,11.77167147,190886.3125,185989.6406,190886.3125,0.0578472726,11042.25293,10.0
19,,,,,7.0,,,,3.0,,,,,,1.0,,,,7.0,12.0,,,,,284.0,65.0,64.0,27.0,8.0,2.0,9.0,6.0,,3.0,Kano,354.75,1010.0,47.02,65.14,3636.6,9714.4,6.36,374.0,760.25,5.2,40.8,41.9,0.6,11.5,27.9,72.1,99.0,1.0,72.2,27.8,63.2,0.8,30.6,5.4,422.0,3519.0,17.02857143,16.0,2016-2017,Kano,0.2911579311,0.3997138143,62.52118349,27.26543546,32.17321038,45.33727169,89.74871635,45.01400292,47.38641679,52.19786167,56.08212948,23.12747985,190886.3125,185989.6406,190886.3125,0.07515741885,14346.52246,10.0
20,,,,,7.0,8.0,,,,,,,,,,,,,,,,,,3.0,8.0,24.0,17.0,3.0,,,6.0,39.0,72.0,20.0,Katsina,190.5,491.0,23.64,41.92,1558.2,4619.4,5.92,279.5,512.5,4.5,46.2,40.8,0.7,7.9,16.5,83.5,98.5,1.5,83.3,16.7,70.3,0.4,28.7,0.7,299.6666667,2546.333333,19.45714286,17.0,2016-2017,Katsina,0.2911579311,0.4615422189,67.17129946,18.77780408,41.84446037,46.32941782,95.4841733,72.25455046,49.99546111,68.10233593,71.14693522,27.1239996,190886.3125,185989.6406,190886.3125,0.06058065593,11564.01758,10.0
21,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,6.0,,,,Kebbi,153.0,485.75,31.04,47.32,921.0,3578.4,6.7,195.0,462.25,5.3,46.3,39.6,2.2,6.6,41.0,59.0,98.1,1.9,83.7,16.3,64.3,0.3,34.3,1.1,150.3333333,556.0,13.64285714,18.0,2016-2017,Kebbi,0.2911579311,0.4911557436,60.05271077,21.31311744,49.37812686,60.54655313,93.95166636,69.38945651,47.11064398,56.85464144,75.53515434,32.61823058,190886.3125,185989.6406,190886.3125,0.02990641631,5708.725586,10.0
22,,,,,,,,,,,,,,,,,1.0,,,,,,,,19.0,20.0,17.0,28.0,12.0,73.0,167.0,58.0,49.0,9.0,Kogi,1298.75,2316.5,47.42,66.98,13279.8,22749.0,4.0,217.25,123.5,2.9,58.7,32.2,0.4,5.8,32.7,67.3,99.4,0.6,43.4,56.6,6.2,1.4,48.1,44.3,275.6666667,466.0,13.21428571,19.0,2016-2017,Kogi,0.2911579311,0.1350235939,24.69232976,4.809588566,6.664781272,9.512925893,82.51211643,78.46921682,41.77814126,51.85519457,34.6134454,16.43225104,190886.3125,185989.6406,190886.3125,0.01741371863,3324.040527,10.0
23,,,,,,,,,,,,,,,3.0,,,,,1.0,,,6.0,2.0,6.0,1.0,,,2.0,9.0,1.0,,2.0,33.0,Kwara,673.5,1167.75,42.52,58.4,10539.4,16647.8,4.28,317.25,193.25,2.4,57.0,36.6,0.2,3.8,33.7,66.3,98.7,1.3,53.4,46.6,2.3,0.6,16.1,81.1,191.0,323.0,8.028571429,20.0,2016-2017,Kwara,0.2911579311,0.1439507455,24.71936494,2.793436125,23.64053577,12.36831918,76.06877089,77.88345218,21.17083073,27.79501677,22.0108822,23.00100029,190886.3125,185989.6406,190886.3125,0.0147036342,2806.722412,10.0
