"('State', '')","('mean', 'Admission into nigerian universities, Female')","('mean', 'Admission into nigerian universities, Male')","('mean', 'Adult Literacy in Any Language, Percent, Female')","('mean', 'Adult Literacy in Any Language, Percent, Male')","('mean', 'Application into nigerian universities, Female')","('mean', 'Application into nigerian universities, Male')","('mean', 'Household Size, Average, Total')","('mean', ""National teachers' institute student enrolment on distance leaning, Female"")","('mean', ""National teachers' institute student enrolment on distance leaning, Male"")","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Fairly rich')","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Moderate')","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Poor')","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Rich')","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Very poor')","('mean', 'Percentage Distribution of Households that think Reduction of Poverty is Priority of Government, No')","('mean', 'Percentage Distribution of Households that think Reduction of Poverty is Priority of Government, Yes')","('mean', 'Percentage Distribution of Persons 15 Years and Above Who Attended a Literacy Course, No')","('mean', 'Percentage Distribution of Persons 15 Years and Above Who Attended a Literacy Course, Yes')","('mean', 'Percentage of Persons Who Can Read a Simple Letter in English Language 15 Years and Above, No')","('mean', 'Percentage of Persons Who Can Read a Simple Letter in English Language 15 Years and Above, Yes')","('mean', 'Percentage of Persons Who Can Read and Write in Hausa, Ibo or Yoruba, 15 Years and Above, Hausa')","('mean', 'Percentage of Persons Who Can Read and Write in Hausa, Ibo or Yoruba, 15 Years and Above, Ibo')","('mean', 'Percentage of Persons Who Can Read and Write in Hausa, Ibo or Yoruba, 15 Years and Above, Other')","('mean', 'Percentage of Persons Who Can Read and Write in Hausa, Ibo or Yoruba, 15 Years and Above, Yoruba')","('mean', 'Total employment in crop farming, 000, Female')","('mean', 'Total employment in crop farming, 000, Male')","('mean', 'Unemployment Rates by State')",Unnamed: 0,MPI data source,"Subnational 
region",MPI of the country,MPI of the region,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking 
fuel",Sanitation,Drinking water,Electricity,Housing,Assets,Year of the survey,Population 2016,Population 2017,Population share by region,"Population size by 
region","Total number of indicators included 
(out of ten)"
Delta,2364.5,3262.25,62.82000000000001,77.96000000000001,28598.8,37114.8,3.88,687.5,227.75,6.0,36.2,43.5,0.7,13.6,34.4,65.6,98.7,1.3,38.5,61.5,3.0,21.5,72.0,3.4,234.0,310.0,15.685714285714287,6.0,2016-2017,Delta,0.2911579310894012,0.0511189363896846,15.509794652462006,4.770149663090706,4.254615306854248,1.603991910815239,53.789663314819336,61.916619539260864,21.90144509077072,27.63651907444,14.718985557556152,13.768652081489565,190886.3125,185989.640625,190886.3125,0.0162277985364198,3097.66455078125,10.0
Ebonyi,980.0,1657.25,51.519999999999996,70.16000000000001,7170.6,11015.2,5.1,270.75,296.75,5.2,15.2,51.4,0.5,27.6,74.1,25.9,99.6,0.4,32.8,67.2,1.0,69.3,29.7,0.1,791.6666666666666,686.6666666666666,11.414285714285715,7.0,2016-2017,Ebonyi,0.2911579310894012,0.1690019518136978,22.160977125167847,4.058944061398506,11.219921708106996,9.446931630373,92.05838441848756,87.7849280834198,45.08207440376282,70.04756331443787,51.14530920982361,31.681588292121887,190886.3125,185989.640625,190886.3125,0.0124996295198798,2386.00830078125,10.0
Edo,1910.5,2923.0,64.03999999999999,80.12,23645.4,32447.6,4.14,447.75,82.0,6.1,59.1,29.8,1.1,3.9,40.5,59.5,99.3,0.7,32.7,67.3,0.6,2.9,91.5,5.0,350.6666666666667,465.0,13.642857142857142,8.0,2016-2017,Edo,0.2911579310894012,0.0200819857418537,10.86880788207054,0.8777967654168606,3.474747017025948,2.056020312011242,38.10803890228272,48.46425950527191,15.781717002391815,11.4923357963562,8.558518439531326,9.339141845703123,190886.3125,185989.640625,190886.3125,0.0130816427990794,2497.1064453125,10.0
Ekiti,1067.0,1716.5,59.620000000000005,73.62,11740.8,17542.6,3.4800000000000004,155.5,76.25,2.7,51.1,37.6,0.6,8.0,19.9,80.1,97.4,2.6,35.1,64.9,0.3,1.8,8.8,89.1,100.0,162.66666666666666,13.657142857142857,9.0,2016-2017,Ekiti,0.2911579310894012,0.0534537695348262,13.785919547080994,4.745320603251457,6.968496739864349,2.695482037961483,58.90304446220398,74.38258528709412,26.791024208068848,26.091313362121586,9.90251749753952,12.516896426677704,190886.3125,185989.640625,190886.3125,0.0061532687395811,1174.5748291015625,10.0
Enugu,2172.75,2555.5,58.4,74.28,22121.0,23230.4,4.26,1052.25,182.5,7.7,42.2,36.2,0.8,13.2,15.1,84.9,99.1,0.9,35.4,64.6,0.6,92.5,6.5,0.5,918.0,844.3333333333334,19.557142857142857,10.0,2016-2017,Enugu,0.2911579310894012,0.0382687523961067,7.070489972829819,2.3505594581365585,5.8289214968681335,1.4019152149558067,71.86136841773987,68.00408363342285,48.07449281215668,28.173568844795227,11.042433977127075,14.547669887542725,190886.3125,185989.640625,190886.3125,0.0132787115871906,2534.724365234375,10.0
Gombe,209.25,495.5,54.660000000000004,70.82,1564.6,3535.6,5.9799999999999995,161.5,244.0,2.9,46.3,42.6,0.8,7.5,44.7,55.3,98.5,1.5,70.8,29.2,69.7,0.7,29.3,0.3,262.6666666666667,906.6666666666666,19.628571428571426,12.0,2016-2017,Gombe,0.2911579310894012,0.4557758569717407,55.079662799835205,16.7422816157341,42.11540222167969,55.13007640838623,95.85381150245668,56.97092413902283,66.32415056228638,56.95472359657288,78.3288300037384,31.420019268989563,190886.3125,185989.640625,190886.3125,0.0180731229484081,3449.911865234375,10.0
Imo,4763.25,4667.75,64.3,79.14000000000001,49945.8,45809.2,4.38,527.25,75.75,1.8,30.4,46.7,0.8,20.3,11.7,88.3,99.0,1.0,23.2,76.8,1.1,71.1,27.6,0.3,1331.6666666666667,1094.0,21.7,13.0,2016-2017,Imo,0.2911579310894012,0.035422746092081,16.47723615169525,6.779006123542786,3.29010933637619,0.8061918430030346,73.57236742973328,41.88608527183533,23.02892506122589,24.77383315563202,5.720648914575577,7.379048317670822,190886.3125,185989.640625,190886.3125,0.0181301534175872,3460.798095703125,10.0
Jigawa,61.75,205.5,39.6,58.28000000000001,653.8,2690.4,6.359999999999999,115.0,466.75,7.3,56.0,30.7,1.0,4.9,33.2,66.8,97.4,2.6,82.7,17.3,82.4,0.5,16.0,1.1,382.3333333333333,1739.6666666666667,19.171428571428574,14.0,2016-2017,Jigawa,0.2911579310894012,0.5308761596679688,67.74685978889465,25.06251633167267,55.388712882995605,60.96576452255249,98.71048927307127,67.18618869781494,30.58100938796997,73.35992455482483,82.98474550247192,34.76766049861908,190886.3125,185989.640625,190886.3125,0.0441909506916999,8435.447265625,10.0
Kaduna,454.25,889.5,43.879999999999995,63.5,5449.2,9726.6,6.859999999999999,879.75,731.25,9.0,38.2,43.5,0.5,8.8,22.3,77.7,97.8,2.2,53.3,46.7,79.4,1.8,17.6,1.3,1105.3333333333333,2989.6666666666665,12.5,15.0,2016-2017,Kaduna,0.2911579310894012,0.2927293479442596,49.85261559486389,8.49292054772377,26.37325525283813,29.88693118095398,87.20204830169678,70.49760818481445,40.24682939052582,37.142202258110046,52.21331715583801,11.77167147397995,190886.3125,185989.640625,190886.3125,0.0578472726047039,11042.2529296875,10.0
Kano,354.75,1010.0,47.02,65.14,3636.6,9714.4,6.36,374.0,760.25,5.2,40.8,41.9,0.6,11.5,27.9,72.1,99.0,1.0,72.2,27.8,63.2,0.8,30.6,5.4,422.0,3519.0,17.02857142857143,16.0,2016-2017,Kano,0.2911579310894012,0.3997138142585754,62.52118349075317,27.26543545722961,32.17321038246155,45.33727169036865,89.74871635437012,45.01400291919708,47.38641679286957,52.19786167144776,56.08212947845459,23.12747985124588,190886.3125,185989.640625,190886.3125,0.075157418847084,14346.5224609375,10.0
